,playbackTime,curTime,renderTime,cameraX,cameraY,cameraZ,HPTime,curHP,maxHP,isDead
1675,1616313872669,757.2132568359375,1616313872669,8150.42578125,1911.8480224609375,6699.81396484375,1616313872676,667,1197,False
1676,1616313872743,757.4973754882812,1616313872743,8142.79931640625,1911.8480224609375,6706.8642578125,1616313872763,670,1197,False
1677,1616313872843,757.9022827148438,1616313872843,8126.8818359375,1911.8480224609375,6712.662109375,1616313872861,672,1197,False
1678,1616313872950,758.3297729492188,1616313872950,7988.20068359375,1911.8480224609375,7076.9970703125,1616313872958,624,1197,False
1679,1616313873038,758.68310546875,1616313873038,7977.9599609375,1911.8480224609375,7122.5224609375,1616313873044,163,1197,False
1680,1616313873133,759.0665283203125,1616313873133,7638.0,1911.8480224609375,7452.4423828125,1616313873146,169,1197,False
1681,1616313873239,759.4830322265625,1616313873239,7638.0,1911.8480224609375,7452.4423828125,1616313873251,93,1197,False
1682,1616313873333,759.86767578125,1616313873333,7636.0,1911.8480224609375,7303.4423828125,1616313873342,99,1197,False
1683,1616313873423,760.221435546875,1616313873423,7697.16064453125,1911.8480224609375,7246.01953125,1616313873425,102,1197,False
1684,1616313873503,760.5469970703125,1616313873503,7753.716796875,1911.8480224609375,7197.72265625,1616313873512,109,1197,False
1685,1616313873591,760.896484375,1616313873591,7722.9501953125,1911.8480224609375,7214.654296875,1616313873610,202,1287,False
1686,1616313873689,761.2630004882812,1616313873698,7601.302734375,1911.8480224609375,7288.4072265625,1616313873708,209,1287,False
1687,1616313873777,761.635986328125,1616313873792,7407.607421875,1911.8480224609375,7418.7470703125,1616313873798,216,1287,False
1688,1616313873881,762.0474243164062,1616313873881,7247.8876953125,1911.8480224609375,7526.44921875,1616313873893,223,1287,False
1689,1616313873982,762.4639892578125,1616313873983,7110.697265625,1911.8480224609375,7607.642578125,1616313873977,223,1287,False
1690,1616313874055,762.7514038085938,1616313874071,6949.1142578125,1911.8480224609375,7682.751953125,1616313874081,229,1287,False
1691,1616313874155,763.1566772460938,1616313874173,6827.3564453125,1911.8480224609375,7731.78125,1616313874174,41,1287,False
1692,1616313874266,763.5960083007812,1616313874266,6827.3564453125,1911.8480224609375,7731.78125,1616313874262,,,True
