comment,youtube_id,date,like_num
언니 처음 인스타에 숏컷 한 사진 올라왔을 때에도 쥐파먹은 머리라 깜놀했지만 다듬기전에 찍은 줄 알았지… 진짜 그 머리로 스케줄 소화할거라고는 상상도 못했다;; 저 구레나룻이랑 앞머리 어떡해 진짜ㅋㅋㅋㅋㅋㅋㅋ 숏컷이 문제가 아니라 커팅이 문제라고요ㅠㅠㅠㅠ 제발 깔끔하게 다듬어주세요ㅠㅠㅠㅠ,꿈빗,5일 전(수정됨),66
"송지효님 머리 잘라놓은 사람 누구냐 ,, 내가 핑킹가위로 잘라도 저거보단 잘 자르겠다ㅡㅡ 얼굴이 살린거에 감사해라🤦‍♀️🤦‍♀️🤦‍♀️",최주희,5일 전(수정됨),124
진짜 지석진님은 멤버분들 장난 다 받아주신다ㅜㅜㅜㅜㅜ,서예린,5일 전,50
진짜 송지효 코디 안티 아냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ금보라 선생님이랑 미러급 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Htgf Yu,5일 전,55
이번주에 언니 머리 왜짤랐는지 말해주는줄..ㅠㅠ 언니 한번도 고냥 스타일 변한적 없자나여.. 무슨 작품하는지 언질만이라도…ㅠㅠㅠㅠㅠ,지호,5일 전,283
스타일리스트 덕분에 고정 분량 5분 확보 ㄷㄷ,갓피셜,4일 전,5
다른 사람들 코디는 엄청 놀리는데 송지효님 헤어는 뭔가 이상해서 오히려 포장하는게 웃기네 ㅋㅋ,ㄴ,3일 전,3
근데 지효언니 진짜 얼굴이 엄청 이쁘시구나.. 개그맨들이 웃기려고 쓰는 가발인줄. 저런머리 하고도 예쁘네. 얼굴승리,grace kho,4일 전,18
전소민이랑 송지효 서로 보는데 눈에 꿀이 떨어지네 ㅋㅋㅋㅋ 너무 좋아 둘다 ㅠㅠ자매같아,ㅇㅇ,4일 전,18
"송지효님 그냥,,동네 미용실에 가셔서 다시 머리카락을 다듬으시는게 좋을것같아요,,예쁘고 아름다우신 송지효배우님을,..물론 지금 그 스타일도 얼굴이 멱살잡고 끌고가고있는데,,이쁘신데,,잘생기셨는데,,이건 진짜 헤메코 담당자분께서 선 넘었지 고소감인데,,,다른 드라마 영화를 어떻게 촬영해요? 캐스팅도 스타일때문에 안들어올듯,,싶은데,,진짜",ᆢ ㆍ,5일 전,101
